
122
 949.5  10.0  0.0103
 977.5  10.0  0.0073
1043.5  10.0  0.0046
1115.5  10.0  0.0062
1162.5  10.0  0.0032
1191.5  10.0  0.0076
1294.5  10.0  0.0020
1347.5  10.0  0.0031
1373.5  10.0  0.0021
1404.5  10.0  0.0034
1453.5  10.0  0.0023
1480.5  10.0  0.0013
1515.5  10.0  0.0017
1537.5  10.0  0.0013
1600.5  10.0  0.0022
1657.5  10.0  0.0019
1693.5  10.0  0.0061
1810.5  10.0  0.0037
1855.5  10.0  0.0012
1937.5  10.0  0.0019
2087.5  10.0  0.0016
2183.5  10.0  0.0016
2205.5  10.0  0.0010
2240.5  10.0  0.0021
2345.5  10.0  0.0048
2378.5  10.0  0.0089
2409.5  10.0  0.0026
2493.5  10.0  0.0039
2523.5  10.0  0.0014
2551.5  10.0  0.0027
2582.5  10.0  0.0028
2603.5  10.0  0.0038
2664.5  10.0  0.0020
2734.5  10.0  0.0024
2881.5  10.0  0.0022
3021.5  10.0  0.0011
3112.5  10.0  0.0012
3281.5  10.0  0.0011
3389.5  10.0  0.0011
3428.5  10.0  0.0018
3455.5  10.0  0.0015
4225.5  10.0  0.0012
4254.5  10.0  0.0017
4281.5  10.0  0.0015
4400.5  10.0  0.0097
4443.5  10.0  0.0032
4463.5  10.0  0.0014
4491.5  10.0  0.0030
4554.5  10.0  0.0012
4582.5  10.0  0.0012
4610.5  10.0  0.0014
4639.5  10.0  0.0022
4770.5  10.0  0.0015
4795.5  10.0  0.0015
4911.5  10.0  0.0013
4980.5  10.0  0.0020
5019.5  10.0  0.0034
5119.5  10.0  0.0020
5147.5  10.0  0.0014
5168.5  10.0  0.0043
5192.5  10.0  0.0052
5318.5  10.0  0.0022
5345.5  10.0  0.0017
5375.5  10.0  0.0020
5437.5  10.0  0.0013
5492.5  10.0  0.0017
5518.5  10.0  0.0022
5558.5  10.0  0.0027
5625.5  10.0  0.0033
5681.5  10.0  0.0011
5737.5  10.0  0.0027
5764.5  10.0  0.0044
5842.5  10.0  0.0013
5874.5  10.0  0.0016
5902.5  10.0  0.0013
5925.5  10.0  0.0011
5999.5  10.0  0.0030
6073.5  10.0  0.0075
6101.5  10.0  0.0050
6133.5  10.0  0.0010
6161.5  10.0  0.0017
6188.5  10.0  0.0038
6217.5  10.0  0.0038
6251.5  10.0  0.0036
6282.5  10.0  0.0020
6325.5  10.0  0.0045
6346.5  10.0  0.0030
6369.5  10.0  0.0035
6392.5  10.0  0.0048
6447.5  10.0  0.0042
6465.5  10.0  0.0046
6494.5  10.0  0.0049
6521.5  10.0  0.0027
6559.5  10.0  0.0029
6594.5  10.0  0.0023
6613.5  10.0  0.0039
6644.5  10.0  0.0118
6703.5  10.0  0.0059
6790.5  10.0  0.0044
6854.5  10.0  0.0035
6881.5  10.0  0.0032
6911.5  10.0  0.0017
7001.5  10.0  0.0025
7020.5  10.0  0.0040
7060.5  10.0  0.0117
7085.5  10.0  0.0032
7179.5  10.0  0.0023
7208.5  10.0  0.0032
7239.5  10.0  0.0027
7260.5  10.0  0.0030
7315.5  10.0  0.0034
7366.5  10.0  0.0035
7417.5  10.0  0.0057
7445.5  10.0  0.0057
7515.5  10.0  0.0014
7544.5  10.0  0.0034
7581.5  10.0  0.0042
7602.5  10.0  0.0031
7627.5  10.0  0.0035
7664.5  10.0  0.0025
7704.5  10.0  0.0026
7740.5  10.0  0.0020
