6561	54.47 
6562	54.80 
6563	55.14 
6564	55.48 
6565	55.82 
6566	56.03 
6567	56.27 
6568	56.46 
6569	56.72 
6570	57.06 
6571	57.41 
6572	57.74 
6573	58.09 
6574	58.43 
6575	58.77 
6576	59.15 
6577	59.48 
6578	59.80 
6579	60.13 
6580	60.46 
6581	60.77 
6582	61.07 
6583	61.33 
6584	61.59 
6585	61.85 
6586	62.12 
6587	62.39 
6588	62.66 
6589	62.90 
6590	63.14 
6591	63.38 
6592	63.72 
6593	64.06 
6594	64.40 
6595	64.89 
6596	65.38 
6597	65.87 
6598	66.37 
6599	66.86 
6600	67.36 
6601	67.78 
6602	68.20 
6603	68.62 
6604	69.07 
6605	69.56 
6606	69.99 
6607	70.42 
6608	70.85 
6609	71.33 
6610	71.82 
6611	72.30 
6612	72.79 
6613	73.27 
6614	73.80 
6615	74.31 
6616	74.93 
6617	75.58 
6618	76.22 
6619	76.86 
6620	77.51 
6621	78.15 
6622	78.79 
6623	79.42 
6624	80.03 
6625	80.64 
6626	81.24 
6627	81.85 
6628	82.45 
6629	83.06 
6630	83.58 
6631	84.11 
6632	84.62 
6633	85.14 
6634	85.83 
6635	86.51 
6636	87.21 
6637	88.02 
6638	88.83 
6639	89.63 
6640	90.31 
6641	90.98 
6642	91.67 
6643	92.36 
6644	93.00 
6645	93.65 
6646	94.29 
6647	94.80 
6648	95.33 
6649	95.93 
6650	96.52 
6651	97.11 
6652	97.78 
6653	98.37 
6654	98.99 
6655	99.71 
6656	100.31 
6657	100.79 
6658	101.26 
6659	101.74 
6660	102.21 
6661	102.68 
6662	103.16 
6663	103.64 
6664	104.11 
6665	104.58 
