6216.83   0.00   
6216.85   0.00   
6216.88   0.00   
6216.90   0.00   
6216.92   0.00   
6216.94   0.00   
6216.96   0.00   
6216.98   0.00   
6217.00   0.00   
6217.02   0.00   
6217.04   0.00   
6217.06   0.00   
6217.08   0.00   
6217.10   0.00   
6217.13   0.00   
6217.15   0.00   
6217.17   0.00   
6217.19   0.00   
6217.21   0.00   
6217.23   18.50   
6217.25   36.90   
6217.27   82.40   
6217.29   127.70   
6217.31   173.10   
6217.33   218.40   
6217.35   256.00   
6217.38   293.50   
6217.40   319.20   
6217.42   344.90   
6217.44   356.80   
6217.46   368.60   
6217.48   366.00   
6217.50   363.40   
6217.52   346.50   
6217.54   329.50   
6217.56   297.20   
6217.58   265.00   
6217.60   224.40   
6217.63   183.80   
6217.65   137.70   
6217.67   91.60   
6217.69   50.10   
6217.71   8.70   
6217.73   4.30   
6217.75   0.00   
6217.77   0.00   
6217.79   0.00   
6217.81   0.00   
6217.83   0.00   
6217.85   0.00   
6217.88   0.00   
6217.90   0.00   
6217.92   0.00   
6217.94   0.00   
6217.96   0.00   
6217.98   0.00   
6218.00   0.00   
6218.02   0.00   
6218.04   0.00   
6218.06   0.00   
6218.08   0.00   
6218.10   0.00   
6218.13   0.00   
6218.15   0.00   
6218.17   0.00   
6218.19   0.00   
6218.21   0.00   
6218.23   18.00   
6218.25   36.10   
6218.27   81.00   
6218.29   125.90   
6218.31   170.80   
6218.33   215.70   
6218.35   252.80   
6218.38   289.90   
6218.40   315.40   
6218.42   340.80   
6218.44   352.50   
6218.46   364.20   
6218.48   361.50   
6218.50   358.90   
6218.52   342.00   
6218.54   325.10   
6218.56   298.10   
6218.58   271.20   
6218.60   229.40   
6218.63   187.60   
6218.65   140.10   
6218.67   92.70   
6218.69   50.30   
6218.71   7.90   
6218.73   4.00   
6218.75   0.00   
6218.77   0.00   
6218.79   0.00   
6218.81   0.00   
6218.83   0.00   
6218.85   0.00   
6218.88   0.00   
6218.90   0.00   
6218.92   0.00   
6218.94   0.00   
6218.96   0.00   
6218.98   0.00   
6219.00   0.00   
6219.02   0.00   
6219.04   0.00   
6219.06   0.00   
6219.08   0.00   
6219.10   0.00   
6219.13   0.00   
6219.15   0.00   
6219.17   0.00   
6219.19   0.00   
6219.21   0.00   
6219.23   18.30   
6219.25   36.60   
6219.27   82.70   
6219.29   128.90   
6219.31   175.00   
6219.33   221.10   
6219.35   259.30   
6219.38   297.50   
