103
 6326.2 	9.1 	0.0107 
 6326.2 	27.3 	0.0076 
 6326.2 	45.8 	0.0123 
 6326.2 	74.2 	0.0085 
 6326.2 	99.6 	0.0076 
 6326.2 	127.0 	0.0038 
 6326.2 	150.2 	0.0028 
 6326.2 	173.5 	0.0038 
 6326.2 	199.4 	0.0022 
 6347.2 	7.6 	0.0073 
 6347.2 	24.7 	0.0063 
 6347.2 	45.9 	0.0079 
 6347.2 	74.0 	0.0044 
 6347.2 	98.9 	0.0057 
 6347.2 	123.2 	0.0032 
 6347.2 	147.5 	0.0022 
 6347.2 	173.9 	0.0013 
 6347.2 	198.4 	0.0019 
 6368.9 	6.5 	0.0104 
 6368.9 	27.5 	0.0091 
 6368.9 	43.5 	0.0088 
 6368.9 	76.9 	0.0050 
 6368.9 	99.7 	0.0044 
 6368.9 	124.9 	0.0038 
 6368.9 	151.0 	0.0044 
 6368.9 	173.4 	0.0019 
 6368.9 	199.3 	0.0022 
 6393.2 	8.5 	0.0104 
 6393.2 	25.0 	0.0088 
 6393.2 	45.2 	0.0117 
 6393.2 	74.6 	0.0170 
 6393.2 	100.3 	0.0142 
 6393.2 	124.6 	0.0085 
 6393.2 	150.4 	0.0057 
 6393.2 	176.0 	0.0069 
 6393.2 	199.0 	0.0050 
 6448.2 	8.3 	0.0095 
 6448.2 	25.5 	0.0113 
 6448.2 	44.7 	0.0120 
 6448.2 	74.6 	0.0107 
 6448.2 	99.9 	0.0136 
 6448.2 	126.2 	0.0054 
 6448.2 	151.1 	0.0032 
 6448.2 	176.3 	0.0047 
 6466.2 	8.3 	0.0107 
 6466.2 	24.7 	0.0057 
 6466.2 	43.8 	0.0079 
 6466.2 	75.8 	0.0123 
 6466.2 	101.4 	0.0104 
 6466.2 	125.3 	0.0066 
 6466.2 	149.4 	0.0044 
 6466.2 	175.3 	0.0041 
 6466.2 	199.4 	0.0025 
 6495.2 	8.4 	0.0098 
 6495.2 	24.7 	0.0110 
 6495.2 	45.0 	0.0126 
 6495.2 	74.8 	0.0113 
 6495.2 	100.0 	0.0082 
 6495.2 	125.0 	0.0091 
 6495.2 	149.7 	0.0060 
 6495.2 	175.5 	0.0038 
 6495.2 	199.6 	0.0041 
 6522.2 	7.3 	0.0091 
 6522.2 	24.7 	0.0098 
 6522.2 	44.5 	0.0154 
 6522.2 	75.0 	0.0208 
 6522.2 	99.7 	0.0101 
 6522.2 	124.7 	0.0085 
 6522.2 	149.6 	0.0057 
 6522.2 	175.1 	0.0047 
 6560.2 	5.3 	0.0098 
 6560.2 	24.9 	0.0085 
 6560.2 	44.8 	0.0104 
 6560.2 	75.0 	0.0091 
 6560.2 	100.3 	0.0069 
 6560.2 	125.3 	0.0044 
 6560.2 	150.4 	0.0028 
 6560.2 	175.5 	0.0025 
 6595.2 	6.2 	0.0095 
 6595.2 	24.6 	0.0104 
 6595.2 	45.4 	0.0126 
 6595.2 	73.9 	0.0104 
 6595.2 	100.3 	0.0057 
 6595.2 	123.5 	0.0054 
 6595.2 	148.6 	0.0038 
 6595.2 	177.5 	0.0028 
 6614.2 	6.5 	0.0117 
 6614.2 	24.8 	0.0082 
 6614.2 	46.0 	0.0050 
 6614.2 	74.6 	0.0076 
 6614.2 	99.5 	0.0050 
 6614.2 	124.4 	0.0038 
 6614.2 	151.1 	0.0028 
 6614.2 	176.0 	0.0022 
 6645.2 	8.3 	0.0076 
 6645.2 	23.3 	0.0073 
 6645.2 	45.6 	0.0050 
 6645.2 	73.5 	0.0047 
 6645.2 	101.3 	0.0038 
 6645.2 	126.2 	0.0050 
 6645.2 	149.9 	0.0025 
 6645.2 	174.7 	0.0025 
 6645.2 	199.4 	0.0025 
