 mu_SP                alpha_SP             v_SPp                theta                k_nh4TR              k_no3TR              k_nh4DDA             k_no3DDA             mu_UN                r_SDOM               r_BAresp_max         mu_PRT               r_PRTresp_2          g_tr                 g_dda                wnsvo               
   0.278030597490       -2.18700666030       -5.75259404818      -0.229171660135       6.805647025007E-03   1.191669056309E-02   2.629432966863E-03   7.491660372324E-03  -0.248363262990        4.22602510509      -6.284494317459E-03   0.603729908822       6.055192183010E-03  -0.266673170199        2.03065711449       0.569894458999    
   -2.18700666030        19.6022434636        49.0310072154       0.844590611198       3.739146137603E-02  -5.625267419477E-02  -1.916582829060E-03  -4.056601128089E-02    2.44888198515       -36.0628347560       4.932975760885E-02   -4.77484989808      -5.003773082674E-02    2.65051993309       -16.7746944673       -4.84222520117    
   -5.75259404818        49.0310072154        131.325012541        2.36963767030       7.124211905951E-02  -0.166817496036       2.569414637828E-03  -0.100229362046        6.27786471451       -94.6214832441       0.132700500801       -12.8557856068      -0.132942313710        6.75975223694       -44.9209564460       -12.5704400825    
  -0.229171660135       0.844590611198        2.36963767030       0.901925566161       3.074641332180E-03  -7.188832862463E-03  -6.221916421671E-03  -1.149818954178E-02  -9.957806389185E-02   -2.03759119198       3.786961944166E-03  -0.335317195570      -2.335667759516E-03  -0.131693950594      -0.998528603052      -0.276977049261    
   6.805647025007E-03   3.739146137604E-02   7.124211905952E-02   3.074641332180E-03   0.999397152659       4.173883780971E-04   8.230036653774E-04   1.237467492712E-03   1.461771230077E-02  -2.301286173154E-02   2.567398879488E-04  -2.694935620685E-03  -3.477562894915E-05   4.105116460682E-02   4.990371862774E-03  -1.219773994809E-02
   1.191669056309E-02  -5.625267419477E-02  -0.166817496036      -7.188832862463E-03   4.173883780971E-04    1.00072728589       8.992128754191E-04   1.443684136127E-03  -1.396207401621E-02   0.146485503183      -2.533859155203E-04   1.986722452715E-02   1.830386075252E-04  -9.659466352836E-03   8.237297297540E-02   1.391899271522E-02
   2.629432966864E-03  -1.916582829061E-03   2.569414637831E-03  -6.221916421671E-03   8.230036653774E-04   8.992128754191E-04    1.00135992313       1.925069026582E-03  -1.643904581486E-03   5.002743392232E-02   3.509557854880E-05  -1.794434551870E-03  -2.729289832740E-05   4.205241905908E-03   3.564907297728E-02  -3.108689451277E-03
   7.491660372324E-03  -4.056601128089E-02  -0.100229362046      -1.149818954178E-02   1.237467492711E-03   1.443684136127E-03   1.925069026582E-03    1.00303173264      -6.754845186223E-03   0.147370762222      -5.512035862353E-05   7.186913541898E-03   6.162033421437E-05  -6.251459960858E-04   9.949763452971E-02   6.912075102335E-03
  -0.248363262990        2.44888198515        6.27786471451      -9.957806389184E-02   1.461771230077E-02  -1.396207401621E-02  -1.643904581486E-03  -6.754845186223E-03   0.376352508208       -4.70975199300       5.473652826702E-03  -0.545281605973      -6.003795882020E-03   0.381914730641       -2.22492511767      -0.577504923290    
    4.22602510509       -36.0628347560       -94.6214832441       -2.03759119198      -2.301286173154E-02   0.146485503183       5.002743392232E-02   0.147370762222       -4.70975199300        72.8410296919      -8.683978177912E-02    8.55234077161       8.898586226649E-02   -4.63739917135        34.2811444211        8.79583113026    
  -6.284494317459E-03   4.932975760885E-02   0.132700500801       3.786961944166E-03   2.567398879488E-04  -2.533859155203E-04   3.509557854880E-05  -5.512035862352E-05   5.473652826702E-03  -8.683978177912E-02   1.870419737379E-04  -1.737438609333E-02  -1.725414596587E-04   7.507733241041E-03  -4.245481764383E-02  -1.454856877469E-02
   0.603729908822       -4.77484989808       -12.8557856068      -0.335317195570      -2.694935620685E-03   1.986722452715E-02  -1.794434551870E-03   7.186913541898E-03  -0.545281605973        8.55234077161      -1.737438609333E-02    1.62666121839       1.622745829672E-02  -0.717393254691        4.18940720564        1.38026927945    
   6.055192183009E-03  -5.003773082674E-02  -0.132942313710      -2.335667759516E-03  -3.477562894914E-05   1.830386075252E-04  -2.729289832740E-05   6.162033421437E-05  -6.003795882020E-03   8.898586226649E-02  -1.725414596587E-04   1.622745829672E-02   1.646970146442E-04  -7.765204730134E-03   4.315075063062E-02   1.411177331210E-02
  -0.266673170199        2.65051993309        6.75975223694      -0.131693950594       4.105116460682E-02  -9.659466352836E-03   4.205241905908E-03  -6.251459960855E-04   0.381914730641       -4.63739917135       7.507733241041E-03  -0.717393254691      -7.765204730134E-03   0.469509051925       -2.15804522402      -0.689089600991    
    2.03065711449       -16.7746944673       -44.9209564460      -0.998528603052       4.990371862777E-03   8.237297297540E-02   3.564907297728E-02   9.949763452971E-02   -2.22492511767        34.2811444211      -4.245481764383E-02    4.18940720564       4.315075063062E-02   -2.15804522402        18.3954044980        4.15342235818    
   0.569894458999       -4.84222520117       -12.5704400825      -0.276977049261      -1.219773994809E-02   1.391899271522E-02  -3.108689451277E-03   6.912075102334E-03  -0.577504923290        8.79583113026      -1.454856877469E-02    1.38026927945       1.411177331210E-02  -0.689089600991        4.15342235818        1.29317448016    
