  -3.364151E-10  -5.338453E-11  -3.970323E-12  -2.587858E-11  -5.138059E-12  -1.515718E-13  -2.597597E-11  -4.890748E-12  -1.504225E-13  -6.188537E-11  -1.200339E-11  -3.625709E-13  -1.713842E-10  -3.337960E-11  -4.348967E-12  -1.001295E-10  -2.755317E-11  -2.759202E-12  -2.792074E-11  -5.726009E-12  -2.359426E-13  -3.771414E-11  -4.341931E-12   3.096834E-13  -6.328356E-09  -1.806714E-09  -3.754046E-11  -8.494889E-09  -9.268367E-10  -1.750850E-11  -1.728268E-11  -6.897647E-08  -6.626148E-09  -3.526262E-13   9.277643E-13   9.842754E-13   6.392453E-12  -1.958269E-13  -1.880522E-14  -1.790420E-14  -4.394417E-14  -1.226308E-13  -1.014330E-13  -2.111738E-14  -1.595981E-14  -6.940610E-12  -3.403499E-12  -6.336834E-14  -2.539216E-10
  -2.736348E-09  -4.593386E-10  -3.756355E-11  -2.926503E-10  -5.846701E-11  -1.748829E-12  -2.920110E-10  -5.788103E-11  -1.742089E-12  -6.868389E-10  -1.367620E-10  -4.094861E-12  -1.987740E-09  -4.637299E-10  -4.994593E-11  -1.281678E-09  -3.321402E-10  -3.499048E-11  -4.179375E-10  -8.481232E-11  -3.465453E-12  -1.529782E-10  -2.505339E-11   3.762314E-12  -1.194968E-07  -5.560736E-09  -4.209202E-10  -6.085643E-08  -7.789913E-09  -2.950770E-10  -6.224368E-10   2.301548E-08   1.758691E-09   2.149367E-11   4.588227E-11   4.641918E-11   1.100896E-10  -1.684647E-12  -2.139658E-13  -2.119085E-13  -5.006746E-13  -1.702538E-12  -1.222764E-12  -3.128246E-13  -9.204317E-14  -1.968704E-11  -2.860599E-11  -2.281988E-12   8.472680E-11
  -4.088066E-10  -4.912064E-11  -3.438437E-12  -3.045437E-11  -5.449949E-12  -1.501408E-13  -2.802484E-11  -4.792109E-12  -1.462024E-13  -7.358651E-11  -1.268830E-11  -3.642911E-13  -1.767991E-10  -3.441736E-11  -4.465499E-12  -1.022053E-10  -2.915212E-11  -2.882110E-12  -2.811986E-11  -5.774039E-12  -2.335605E-13  -5.883596E-11  -6.283032E-12   1.716718E-13  -6.731437E-09  -1.844697E-09  -3.873148E-11  -8.689112E-09  -9.507852E-10  -1.814124E-11  -1.746668E-11  -6.806427E-08  -6.539914E-09  -6.624473E-12  -3.594430E-13   6.143657E-13   3.700132E-12  -1.801132E-13  -1.994974E-14  -1.754070E-14  -4.645387E-14  -1.264416E-13  -1.073159E-13  -2.129064E-14  -2.308170E-14  -7.072606E-12  -3.491453E-12  -6.408189E-14  -2.505634E-10
  -3.341272E-09  -4.529501E-10  -2.947234E-11  -3.032911E-10  -5.880237E-11  -1.734043E-12  -2.951712E-10  -5.679685E-11  -1.712676E-12  -7.136383E-10  -1.349341E-10  -3.985202E-12  -2.016174E-09  -4.703224E-10  -5.024529E-11  -1.299301E-09  -3.489497E-10  -3.637844E-11  -4.164506E-10  -8.449985E-11  -3.414573E-12  -3.582561E-10  -4.652563E-11   1.992729E-12  -1.194594E-07  -5.539332E-09  -4.200478E-10  -6.246045E-08  -8.018369E-09  -3.062533E-10  -6.114554E-10   2.305524E-08   1.754987E-09  -9.150984E-11   4.286068E-11   4.734396E-11   1.040140E-10  -1.659265E-12  -2.151944E-13  -2.079279E-13  -4.939472E-13  -1.726028E-12  -1.284614E-12  -3.116553E-13  -1.708242E-13  -1.963474E-11  -2.944511E-11  -2.243956E-12   8.487281E-11
  -4.379901E-10  -4.836385E-11  -3.229117E-12  -3.597254E-11  -6.303441E-12  -1.620220E-13  -2.948630E-11  -4.840371E-12  -1.481372E-13  -8.710746E-11  -1.485216E-11  -4.125345E-13  -1.844648E-10  -3.564976E-11  -4.596990E-12  -1.047634E-10  -2.969272E-11  -2.911242E-12  -2.854585E-11  -5.862554E-12  -2.347780E-13  -8.028592E-11  -8.162806E-12   7.281140E-14  -7.133340E-09  -1.853431E-09  -4.274235E-11  -8.889081E-09  -9.754304E-10  -1.879924E-11  -1.583025E-11  -6.715906E-08  -6.454741E-09  -1.808528E-11  -3.538128E-12  -1.956250E-13  -2.705142E-12  -1.772871E-13  -2.307581E-14  -1.771467E-14  -5.438223E-14  -1.309707E-13  -1.092965E-13  -2.161235E-14  -2.997345E-14  -7.096596E-12  -3.581964E-12  -5.810194E-14  -2.472312E-10
  -3.814256E-09  -5.668877E-10  -2.710366E-11  -3.130831E-10  -6.089201E-11  -1.766560E-12  -2.966162E-10  -5.632324E-11  -1.712589E-12  -7.392128E-10  -1.406378E-10  -4.082687E-12  -2.063518E-09  -4.727530E-10  -5.043597E-11  -1.323625E-09  -3.720018E-10  -3.708303E-11  -4.154009E-10  -8.428954E-11  -3.391464E-12  -6.033027E-10  -7.137084E-11   6.150004E-13  -1.194536E-07  -5.520121E-09  -4.192056E-10  -6.431107E-08  -8.279352E-09  -3.185206E-10  -5.267352E-10   2.315757E-08   1.756187E-09  -5.278694E-10   3.360169E-11   4.614952E-11   7.425195E-11  -2.074911E-12  -2.228453E-13  -2.061833E-13  -5.148185E-13  -1.734816E-12  -1.369066E-12  -3.108612E-13  -2.619089E-13  -1.958960E-11  -3.040353E-11  -1.935206E-12   8.524795E-11
  -3.145518E-10  -4.300445E-11  -2.946678E-12  -3.385306E-11  -6.294957E-12  -1.697613E-13  -2.737592E-11  -4.672205E-12  -1.471113E-13  -8.003979E-11  -1.475132E-11  -4.324243E-13  -1.927549E-10  -3.719382E-11  -4.760158E-12  -1.070511E-10  -3.016771E-11  -2.957571E-12  -2.900656E-11  -5.964955E-12  -2.381435E-13  -8.419022E-11  -9.056117E-12  -2.757806E-15  -7.522489E-09  -1.890607E-09  -4.668505E-11  -9.091086E-09  -1.000452E-09  -1.946691E-11  -1.766286E-11  -6.628510E-08  -6.371286E-09  -9.254124E-12  -3.120125E-12   1.207452E-13  -1.815479E-12  -1.575918E-13  -2.304629E-14  -1.709710E-14  -5.401679E-14  -1.366434E-13  -1.110308E-13  -2.198514E-14  -3.324774E-14  -7.226037E-12  -3.673857E-12  -6.485368E-14  -2.440137E-10
  -2.687260E-09  -4.402706E-10  -2.386165E-11  -3.046520E-10  -6.018736E-11  -1.768648E-12  -2.874012E-10  -5.539456E-11  -1.692190E-12  -6.971931E-10  -1.370716E-10  -4.045549E-12  -2.118764E-09  -4.843293E-10  -5.134698E-11  -1.345024E-09  -3.779314E-10  -3.733827E-11  -4.144068E-10  -8.410867E-11  -3.379344E-12  -6.781218E-10  -9.104711E-11  -3.544099E-13  -1.193985E-07  -5.501442E-09  -4.183516E-10  -6.612445E-08  -8.539587E-09  -3.304057E-10  -6.135964E-10   2.316994E-08   1.756104E-09  -2.923274E-10   3.567603E-11   4.854414E-11   8.219556E-11  -1.609659E-12  -2.202636E-13  -2.027741E-13  -5.017358E-13  -1.777394E-12  -1.390390E-12  -3.101754E-13  -3.339726E-13  -1.954554E-11  -3.135906E-11  -2.254913E-12   8.529350E-11
  -2.296700E-10  -3.709465E-11  -2.547307E-12  -3.165485E-11  -6.146999E-12  -1.684266E-13  -2.540351E-11  -4.465909E-12  -1.422198E-13  -7.164728E-11  -1.386499E-11  -4.099537E-13  -1.986643E-10  -3.867687E-11  -4.915189E-12  -1.079080E-10  -2.982981E-11  -2.946299E-12  -2.917157E-11  -6.005892E-12  -2.399556E-13  -7.957591E-11  -9.328152E-12  -4.061357E-14  -7.840645E-09  -1.894514E-09  -5.031093E-11  -9.292897E-09  -1.025561E-09  -2.013130E-11  -2.140325E-11  -6.540429E-08  -6.289970E-09  -5.406134E-13  -2.587264E-12   4.635670E-13  -2.438703E-13  -1.358869E-13  -2.250478E-14  -1.634049E-14  -5.076688E-14  -1.420894E-13  -1.097736E-13  -2.213198E-14  -3.423953E-14  -7.232507E-12  -3.766074E-12  -7.861538E-14  -2.407709E-10
  -1.881681E-09  -3.168818E-10  -1.914974E-11  -2.967183E-10  -5.906029E-11  -1.744797E-12  -2.787382E-10  -5.427778E-11  -1.655590E-12  -6.551430E-10  -1.302564E-10  -3.876571E-12  -2.171229E-09  -5.020685E-10  -5.278309E-11  -1.359426E-09  -3.653612E-10  -3.697146E-11  -4.130121E-10  -8.383515E-11  -3.367557E-12  -6.791232E-10  -9.918267E-11  -7.689371E-13  -1.192799E-07  -5.480707E-09  -4.173753E-10  -6.781455E-08  -8.781667E-09  -3.412899E-10  -7.105749E-10   2.315667E-08   1.753023E-09  -8.748021E-11   3.810350E-11   5.106573E-11   9.299675E-11  -1.156816E-12  -2.161330E-13  -1.986770E-13  -4.767393E-13  -1.842651E-12  -1.343709E-12  -3.091490E-13  -3.636535E-13  -1.949306E-11  -3.224787E-11  -2.611414E-12   8.524498E-11
